"Name","Start","End","Duration","Process"
"Mirror density chart with ggplot2 – the R Graph Gallery - Google Chrome","2023-05-04T19:43:53.0000000","2023-05-04T19:44:50.0000000","0:00:57","Google Chrome"
"uruguay - main - RStudio","2023-05-04T19:44:50.0000000","2023-05-04T19:45:48.0000000","0:00:58","RStudio"
"Mirror density chart with ggplot2 – the R Graph Gallery - Google Chrome","2023-05-04T19:45:48.0000000","2023-05-04T19:45:53.0000000","0:00:05","Google Chrome"
"uruguay - main - RStudio","2023-05-04T19:45:53.0000000","2023-05-04T19:46:07.0000000","0:00:14","RStudio"
"Sistema operativo Microsoft® Windows®","2023-05-04T19:46:07.0000000","2023-05-04T19:46:12.0000000","0:00:05","Sistema operativo Microsoft® Windows®"
"uruguay - main - RStudio","2023-05-04T19:46:12.0000000","2023-05-04T19:46:21.0000000","0:00:09","RStudio"
"C:/Users/penninivel/Documents/uruguay - Shiny","2023-05-04T19:46:21.0000000","2023-05-04T19:46:56.0000000","0:00:35","RStudio"
"Mirror density chart with ggplot2 – the R Graph Gallery - Google Chrome","2023-05-04T19:46:56.0000000","2023-05-04T19:47:05.0000000","0:00:09","Google Chrome"
"histograms in ggplot2 - Buscar con Google - Google Chrome","2023-05-04T19:47:05.0000000","2023-05-04T19:47:12.0000000","0:00:07","Google Chrome"
"histograms in ggplot2 - Búsqueda de Google - Google Chrome","2023-05-04T19:47:12.0000000","2023-05-04T19:47:29.0000000","0:00:17","Google Chrome"
"histograms in ggplot2 - Buscar con Google - Google Chrome","2023-05-04T19:47:29.0000000","2023-05-04T19:47:34.0000000","0:00:05","Google Chrome"
"histograms in ggplot2 - Búsqueda de Google - Google Chrome","2023-05-04T19:47:34.0000000","2023-05-04T19:47:42.0000000","0:00:08","Google Chrome"
"5 tips to make better histograms with ggplot2 in R - Data Viz with Python and R - Google Chrome","2023-05-04T19:47:42.0000000","2023-05-04T19:47:59.0000000","0:00:17","Google Chrome"
"uruguay - main - RStudio","2023-05-04T19:47:59.0000000","2023-05-04T19:48:20.0000000","0:00:21","RStudio"
"5 tips to make better histograms with ggplot2 in R - Data Viz with Python and R - Google Chrome","2023-05-04T19:48:20.0000000","2023-05-04T19:48:31.0000000","0:00:11","Google Chrome"
"uruguay - main - RStudio","2023-05-04T19:48:31.0000000","2023-05-04T19:48:42.0000000","0:00:11","RStudio"
"5 tips to make better histograms with ggplot2 in R - Data Viz with Python and R - Google Chrome","2023-05-04T19:48:42.0000000","2023-05-04T19:48:53.0000000","0:00:11","Google Chrome"
"C:/Users/penninivel/Documents/uruguay - Shiny","2023-05-04T19:48:53.0000000","2023-05-04T19:49:35.0000000","0:00:42","RStudio"
"uruguay - main - RStudio","2023-05-04T19:49:35.0000000","2023-05-04T19:50:03.0000000","0:00:28","RStudio"
"C:/Users/penninivel/Documents/uruguay - Shiny","2023-05-04T19:50:03.0000000","2023-05-04T19:50:10.0000000","0:00:07","RStudio"
"uruguay - main - RStudio","2023-05-04T19:50:10.0000000","2023-05-04T19:52:01.0000000","0:01:51","RStudio"
"C:/Users/penninivel/Documents/uruguay - Shiny","2023-05-04T19:52:01.0000000","2023-05-04T19:52:08.0000000","0:00:07","RStudio"
"127.0.0.1:3604 - Google Chrome","2023-05-04T19:52:08.0000000","2023-05-04T19:52:32.0000000","0:00:24","Google Chrome"
"uruguay - main - RStudio","2023-05-04T19:52:32.0000000","2023-05-04T19:53:30.0000000","0:00:58","RStudio"
"127.0.0.1:3604 - Google Chrome","2023-05-04T19:53:30.0000000","2023-05-04T19:53:38.0000000","0:00:08","Google Chrome"
"geom_histogram - Buscar con Google - Google Chrome","2023-05-04T19:53:38.0000000","2023-05-04T19:53:51.0000000","0:00:13","Google Chrome"
"geom_histogram - Búsqueda de Google - Google Chrome","2023-05-04T19:53:51.0000000","2023-05-04T19:54:04.0000000","0:00:13","Google Chrome"
"uruguay - main - RStudio","2023-05-04T19:54:04.0000000","2023-05-04T19:55:08.0000000","0:01:04","RStudio"
"C:/Users/penninivel/Documents/uruguay - Shiny","2023-05-04T19:55:08.0000000","2023-05-04T19:55:14.0000000","0:00:06","RStudio"
"127.0.0.1:3604 - Google Chrome","2023-05-04T19:55:14.0000000","2023-05-04T19:55:27.0000000","0:00:13","Google Chrome"
"uruguay - main - RStudio","2023-05-04T19:55:27.0000000","2023-05-04T19:55:32.0000000","0:00:05","RStudio"
"geom_histogram - Buscar con Google - Google Chrome","2023-05-04T19:55:32.0000000","2023-05-04T19:55:40.0000000","0:00:08","Google Chrome"
"geom_histogram - Buscar con Google - Google Chrome","2023-05-04T19:55:40.0000000","2023-05-04T19:55:46.0000000","0:00:06","Google Chrome"
"ggplot2でヒストグラムを描くときに外枠だけに線を引きたい - nora_goes_far - Google Chrome","2023-05-04T19:55:46.0000000","2023-05-04T19:56:44.0000000","0:00:58","Google Chrome"
"geom_histogram - Buscar con Google - Google Chrome","2023-05-04T19:56:44.0000000","2023-05-04T19:57:01.0000000","0:00:17","Google Chrome"
"geom_histogram - Buscar con Google - Google Chrome","2023-05-04T19:57:01.0000000","2023-05-04T19:57:06.0000000","0:00:05","Google Chrome"
"geom_histogram - Búsqueda de Google - Google Chrome","2023-05-04T19:57:06.0000000","2023-05-04T19:57:25.0000000","0:00:19","Google Chrome"
"uruguay - main - RStudio","2023-05-04T19:57:25.0000000","2023-05-04T19:57:39.0000000","0:00:14","RStudio"
"C:/Users/penninivel/Documents/uruguay - Shiny","2023-05-04T19:57:39.0000000","2023-05-04T19:57:49.0000000","0:00:10","RStudio"
"127.0.0.1:3604 - Google Chrome","2023-05-04T19:57:49.0000000","2023-05-04T19:58:06.0000000","0:00:17","Google Chrome"
"Sistema operativo Microsoft® Windows®","2023-05-04T19:58:06.0000000","2023-05-04T19:58:11.0000000","0:00:05","Sistema operativo Microsoft® Windows®"
"uruguay - main - RStudio","2023-05-04T19:58:11.0000000","2023-05-04T19:58:50.0000000","0:00:39","RStudio"
"histograms in ggplot2 - Buscar con Google - Google Chrome","2023-05-04T19:58:50.0000000","2023-05-04T19:59:00.0000000","0:00:10","Google Chrome"
"geom_histogram - Buscar con Google - Google Chrome","2023-05-04T19:59:00.0000000","2023-05-04T19:59:16.0000000","0:00:16","Google Chrome"
"Create ggplot2 Histogram in R (7 Examples) | geom_histogram Function - Google Chrome","2023-05-04T19:59:16.0000000","2023-05-04T20:00:03.0000000","0:00:47","Google Chrome"
"uruguay - main - RStudio","2023-05-04T20:00:03.0000000","2023-05-04T20:00:37.0000000","0:00:34","RStudio"
"Sin título - Google Chrome","2023-05-04T20:00:37.0000000","2023-05-04T20:00:42.0000000","0:00:05","Google Chrome"
"127.0.0.1:3604 - Google Chrome","2023-05-04T20:00:42.0000000","2023-05-04T20:02:11.0000000","0:01:29","Google Chrome"
"uruguay - main - RStudio","2023-05-04T20:02:11.0000000","2023-05-04T20:03:29.0000000","0:01:18","RStudio"
"127.0.0.1:3604 - Google Chrome","2023-05-04T20:03:29.0000000","2023-05-04T20:03:36.0000000","0:00:07","Google Chrome"
"C:/Users/penninivel/Documents/uruguay - Shiny","2023-05-04T20:03:36.0000000","2023-05-04T20:03:42.0000000","0:00:06","RStudio"
"RStudio","2023-05-04T20:03:42.0000000","2023-05-04T20:03:48.0000000","0:00:06","RStudio"
"127.0.0.1:3604 - Google Chrome","2023-05-04T20:03:48.0000000","2023-05-04T20:06:33.0000000","0:02:45","Google Chrome"
"Nueva pestaña - Google Chrome","2023-05-04T20:06:33.0000000","2023-05-04T20:06:45.0000000","0:00:12","Google Chrome"
"127.0.0.1:3604 - Google Chrome","2023-05-04T20:06:45.0000000","2023-05-04T20:07:38.0000000","0:00:53","Google Chrome"
"C:/Users/penninivel/Documents/uruguay - Shiny","2023-05-04T20:07:38.0000000","2023-05-04T20:07:45.0000000","0:00:07","RStudio"
"127.0.0.1:3604 - Google Chrome","2023-05-04T20:07:45.0000000","2023-05-04T20:08:13.0000000","0:00:28","Google Chrome"
"Data looks better naked — Darkhorse Analytics | Edmonton, AB - Google Chrome","2023-05-04T20:08:13.0000000","2023-05-04T20:08:24.0000000","0:00:11","Google Chrome"
"127.0.0.1:3604 - Google Chrome","2023-05-04T20:08:24.0000000","2023-05-04T20:08:48.0000000","0:00:24","Google Chrome"
"127.0.0.1:3604 - Google Chrome","2023-05-04T20:20:38.0000000","2023-05-04T20:20:50.0000000","0:00:12","Google Chrome"
"uruguay - main - RStudio","2023-05-04T20:20:50.0000000","2023-05-04T20:22:31.0000000","0:01:41","RStudio"
"127.0.0.1:3604 - Google Chrome","2023-05-04T20:22:31.0000000","2023-05-04T20:23:08.0000000","0:00:37","Google Chrome"
"Búsqueda","2023-05-04T20:23:08.0000000","2023-05-04T20:23:15.0000000","0:00:07","Microsoft® Windows® Operating System"
"Nueva pestaña - Google Chrome","2023-05-04T20:23:15.0000000","2023-05-04T20:23:21.0000000","0:00:06","Google Chrome"
"RV: OPS/OMS - ARG/EIH/5426.(41468)/23  - Cuestionario mundial de la OMS sobre los sistemas de registro civil y la implementación e información de la Familia de Clasificaciones Internacionales de la OMS (OMS-FIC) - Mensaje (HTML) ","2023-05-04T20:23:21.0000000","2023-05-04T20:23:28.0000000","0:00:07","Microsoft Outlook"
"Sistema operativo Microsoft® Windows®","2023-05-04T20:23:28.0000000","2023-05-04T20:23:54.0000000","0:00:26","Sistema operativo Microsoft® Windows®"
"Tool for tracking all-cause mortality and estimating excess mortality to support the COVID-19 pandemic response. - Google Chrome","2023-05-04T20:23:54.0000000","2023-05-04T20:24:03.0000000","0:00:09","Google Chrome"
"jech-2020-214764 1..11 - Google Chrome","2023-05-04T20:24:03.0000000","2023-05-04T20:24:08.0000000","0:00:05","Google Chrome"
"Iecs| Anuarios - Google Chrome","2023-05-04T20:24:08.0000000","2023-05-04T20:24:13.0000000","0:00:05","Google Chrome"
"infovis ECD 2022B (2023-05) - Hojas de cálculo de Google - Google Chrome","2023-05-04T20:24:13.0000000","2023-05-04T20:24:35.0000000","0:00:22","Google Chrome"
"Error de privacidad - Google Chrome","2023-05-04T20:24:35.0000000","2023-05-04T20:24:49.0000000","0:00:14","Google Chrome"
"Descargas","2023-05-04T20:24:49.0000000","2023-05-04T20:25:08.0000000","0:00:19","Sistema operativo Microsoft® Windows®"
"Tableau - Libro1- La licencia de Tableau expira en 12 días","2023-05-04T20:25:08.0000000","2023-05-04T20:25:23.0000000","0:00:15","Tableau 2023.1"
"Abrir","2023-05-04T20:25:23.0000000","2023-05-04T20:25:32.0000000","0:00:09","Tableau 2023.1"
"Tableau - Libro1- La licencia de Tableau expira en 12 días","2023-05-04T20:25:32.0000000","2023-05-04T20:29:48.0000000","0:04:16","Tableau 2023.1"
"Pizzo, Sra. Sabrina (ARG) | Microsoft Teams","2023-05-04T20:29:48.0000000","2023-05-04T20:29:55.0000000","0:00:07","Microsoft Teams"
"Tableau - Libro1- La licencia de Tableau expira en 12 días","2023-05-04T20:29:55.0000000","2023-05-04T20:30:44.0000000","0:00:49","Tableau 2023.1"
"Describir campo","2023-05-04T20:30:44.0000000","2023-05-04T20:30:56.0000000","0:00:12","Tableau 2023.1"
"Tableau - Libro1- La licencia de Tableau expira en 12 días","2023-05-04T20:30:56.0000000","2023-05-04T20:33:17.0000000","0:02:21","Tableau 2023.1"
"precios-en-surtidor-resolucin-3142016.csv","2023-05-04T20:33:17.0000000","2023-05-04T20:33:46.0000000","0:00:29","Tableau 2023.1"
"Tableau - Libro1- La licencia de Tableau expira en 12 días","2023-05-04T20:33:46.0000000","2023-05-04T20:34:42.0000000","0:00:56","Tableau 2023.1"
"127.0.0.1:3604 - Google Chrome","2023-05-04T20:34:42.0000000","2023-05-04T20:34:47.0000000","0:00:05","Google Chrome"
"When Pie Charts Are Okay (Seriously): Guidelines for Using Pie and Donut Charts | Depict Data Studio - Google Chrome","2023-05-04T20:34:47.0000000","2023-05-04T20:34:59.0000000","0:00:12","Google Chrome"
"IECS - Calendar - Semana del 30 de abril de 2023 - Google Chrome","2023-05-04T20:34:59.0000000","2023-05-04T20:35:04.0000000","0:00:05","Google Chrome"
"Tableau - Libro1- La licencia de Tableau expira en 12 días","2023-05-04T20:35:04.0000000","2023-05-04T20:36:10.0000000","0:01:06","Tableau 2023.1"
"La batería se está agotando.","2023-05-04T20:36:10.0000000","2023-05-04T20:36:15.0000000","0:00:05","File Picker UI Host"
"Nueva notificación","2023-05-04T20:36:15.0000000","2023-05-04T20:36:36.0000000","0:00:21","Windows Shell Experience Host"
"Tableau - Libro1- La licencia de Tableau expira en 12 días","2023-05-04T20:36:36.0000000","2023-05-04T20:43:13.0000000","0:06:37","Tableau 2023.1"
