Name,Start,End,Duration,Process,,,
RStudio,2023-05-04T20:03:42.0000000,2023-05-04T20:03:48.0000000,00:00:06,RStudio,,,
127.0.0.1:3604 - Google Chrome,2023-05-04T20:03:48.0000000,2023-05-04T20:06:33.0000000,00:02:45,Google Chrome,,,
Nueva pestaña - Google Chrome,2023-05-04T20:06:33.0000000,2023-05-04T20:06:45.0000000,00:00:12,Google Chrome,,,
127.0.0.1:3604 - Google Chrome,2023-05-04T20:06:45.0000000,2023-05-04T20:07:38.0000000,00:00:53,Google Chrome,,,
C:/Users/penninivel/Documents/uruguay - Shiny,2023-05-04T20:07:38.0000000,2023-05-04T20:07:45.0000000,00:00:07,RStudio,,,
127.0.0.1:3604 - Google Chrome,2023-05-04T20:07:45.0000000,2023-05-04T20:08:13.0000000,00:00:28,Google Chrome,,,
Data looks better naked — Darkhorse Analytics | Edmonton, AB - Google Chrome,2023-05-04T20:08:13.0000000,2023-05-04T20:08:24.0000000,00:00:11,Google Chrome,,
127.0.0.1:3604 - Google Chrome,2023-05-04T20:08:24.0000000,2023-05-04T20:08:48.0000000,00:00:24,Google Chrome,,,
127.0.0.1:3604 - Google Chrome,2023-05-04T20:20:38.0000000,2023-05-04T20:20:50.0000000,00:00:12,Google Chrome,,,
uruguay - main - RStudio,2023-05-04T20:20:50.0000000,2023-05-04T20:22:31.0000000,00:01:41,RStudio,,,
127.0.0.1:3604 - Google Chrome,2023-05-04T20:22:31.0000000,2023-05-04T20:23:08.0000000,00:00:37,Google Chrome,,,
Búsqueda,2023-05-04T20:23:08.0000000,2023-05-04T20:23:15.0000000,00:00:07,Microsoft® Windows® Operating System,,,
Nueva pestaña - Google Chrome,2023-05-04T20:23:15.0000000,2023-05-04T20:23:21.0000000,00:00:06,Google Chrome,,,
RV: OPS/OMS - ARG/EIH/5426.(41468)/23  - Cuestionario mundial de la OMS sobre los sistemas de registro civil y la implementación e información de la Familia de Clasificaciones Internacionales de la OMS (OMS-FIC) - Mensaje (HTML) ,2023-05-04T20:23:21.0000000,2023-05-04T20:23:28.0000000,00:00:07,Microsoft Outlook,,,
Sistema operativo Microsoft® Windows®,2023-05-04T20:23:28.0000000,2023-05-04T20:23:54.0000000,00:00:26,Sistema operativo Microsoft® Windows®,,,
Tool for tracking all-cause mortality and estimating excess mortality to support the COVID-19 pandemic response. - Google Chrome,2023-05-04T20:23:54.0000000,2023-05-04T20:24:03.0000000,00:00:09,Google Chrome,,,
jech-2020-214764 1..11 - Google Chrome,2023-05-04T20:24:03.0000000,2023-05-04T20:24:08.0000000,00:00:05,Google Chrome,,,
Iecs| Anuarios - Google Chrome,2023-05-04T20:24:08.0000000,2023-05-04T20:24:13.0000000,00:00:05,Google Chrome,,,
infovis ECD 2022B (2023-05) - Hojas de cálculo de Google - Google Chrome,2023-05-04T20:24:13.0000000,2023-05-04T20:24:35.0000000,00:00:22,Google Chrome,,,
Error de privacidad - Google Chrome,2023-05-04T20:24:35.0000000,2023-05-04T20:24:49.0000000,00:00:14,Google Chrome,,,
Descargas,2023-05-04T20:24:49.0000000,2023-05-04T20:25:08.0000000,00:00:19,Sistema operativo Microsoft® Windows®,,,
Tableau - Libro1- La licencia de Tableau expira en 12 días,2023-05-04T20:25:08.0000000,2023-05-04T20:25:23.0000000,00:00:15,Tableau 2023.1,,,
Abrir,2023-05-04T20:25:23.0000000,2023-05-04T20:25:32.0000000,00:00:09,Tableau 2023.1,,,
Tableau - Libro1- La licencia de Tableau expira en 12 días,2023-05-04T20:25:32.0000000,2023-05-04T20:29:48.0000000,00:04:16,Tableau 2023.1,,,
Pizzo, Sra. Sabrina (ARG) | Microsoft Teams,2023-05-04T20:29:48.0000000,2023-05-04T20:29:55.0000000,00:00:07,Microsoft Teams,,
Tableau - Libro1- La licencia de Tableau expira en 12 días,2023-05-04T20:29:55.0000000,2023-05-04T20:30:44.0000000,00:00:49,Tableau 2023.1,,,
Describir campo,2023-05-04T20:30:44.0000000,2023-05-04T20:30:56.0000000,00:00:12,Tableau 2023.1,,,
Tableau - Libro1- La licencia de Tableau expira en 12 días,2023-05-04T20:30:56.0000000,2023-05-04T20:33:17.0000000,00:02:21,Tableau 2023.1,,,
precios-en-surtidor-resolucin-3142016.csv,2023-05-04T20:33:17.0000000,2023-05-04T20:33:46.0000000,00:00:29,Tableau 2023.1,,,
Tableau - Libro1- La licencia de Tableau expira en 12 días,2023-05-04T20:33:46.0000000,2023-05-04T20:34:42.0000000,00:00:56,Tableau 2023.1,,,
127.0.0.1:3604 - Google Chrome,2023-05-04T20:34:42.0000000,2023-05-04T20:34:47.0000000,00:00:05,Google Chrome,,,
When Pie Charts Are Okay (Seriously): Guidelines for Using Pie and Donut Charts | Depict Data Studio - Google Chrome,2023-05-04T20:34:47.0000000,2023-05-04T20:34:59.0000000,00:00:12,Google Chrome,,,
IECS - Calendar - Semana del 30 de abril de 2023 - Google Chrome,2023-05-04T20:34:59.0000000,2023-05-04T20:35:04.0000000,00:00:05,Google Chrome,,,
Tableau - Libro1- La licencia de Tableau expira en 12 días,2023-05-04T20:35:04.0000000,2023-05-04T20:36:10.0000000,00:01:06,Tableau 2023.1,,,
